Geography,Industry,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
Canada,Accommodation,165700.0,181600.0,191800.0,221300.0,229100.0,202100.0,197300.0,175400.0,181900.0,173200.0,168600.0,134300.0,89800.0,106100.0,129400.0,140000.0,157900.0,148100.0,128500.0,125300.0,121500.0,96800.0,99800.0,117700.0,114300.0,115700.0,120400.0,151000.0,164500.0,155400.0,151000.0,136400.0,143200.0,121200.0,130600.0,127300.0
Canada,Food and Beverage,1012200.0,1019500.0,1026099.9999999999,1026300.0,1026800.0,1027599.9999999999,1029200.0,1029599.9999999999,1049600.0,1021800.0,1014700.0,768800.0,510800.0,564300.0,722000.0,833000.0,865200.0,895500.0,865700.0,831300.0,786900.0,714900.0,776500.0,778400.0,733300.0,747500.0,864000.0,892000.0,944300.0,886800.0,857000.0,868100.0,863000.0,751400.0,847300.0,878200.0
Canada,Recreation and Entertainment,421700.0,452900.0,484800.0,546700.0,534400.0,426100.0,417800.0,399800.0,410000.0,406700.0,410600.0,310300.0,241800.0,274200.0,336600.0,400200.0,405600.0,360100.0,323400.0,290400.0,279700.0,252800.0,259300.0,287000.0,278200.0,303300.0,361700.0,406800.0,417200.0,339400.0,352400.0,341100.0,342000.0,294900.0,373800.0,386500.0
Canada,Transportation,346500.0,364000.0,360300.0,323800.0,313700.0,322000.0,333300.0,323800.0,338900.0,345100.0,353800.0,315300.0,269800.0,253200.0,264300.0,238900.0,229900.0,271000.0,266200.0,288500.0,284000.0,280200.0,281500.0,281400.0,264800.0,261500.0,265100.0,258500.0,253100.0,288800.0,280800.0,289400.0,295600.0,291100.0,306700.0,310200.0
Canada,Travel Services,228000.0,223000.0,222900.0,239300.0,244900.0,245900.0,253000.0,237500.0,243000.0,228700.0,246400.0,200100.0,152700.0,160600.0,170400.0,197500.0,212500.0,189900.0,213800.0,229200.0,244000.0,207300.0,224300.0,235300.0,216600.0,191400.0,188200.0,194100.0,199300.0,210900.0,221000.0,223500.0,230700.0,200100.0,212700.0,213800.0
British Columbia,Accommodation,35900.0,33600.0,34300.0,38400.0,40600.0,36500.0,40600.0,32500.0,33500.0,33100.0,34600.0,31700.0,13600.0,18900.0,24900.0,22700.0,27700.0,26800.0,25600.0,29900.0,30800.0,25600.0,24700.0,27400.0,31600.0,23700.0,30300.0,35100.0,40800.0,33400.0,33400.0,29300.0,30700.0,23600.0,21900.0,22600.0
British Columbia,Food and Beverage,163100.0,161000.0,160300.0,163900.0,162500.0,164100.0,167600.0,165700.0,173300.0,161800.0,162200.0,123400.0,76700.0,86100.0,139700.0,165700.0,163500.0,153600.0,157400.0,156800.0,152500.0,145600.0,145500.0,144500.0,123500.0,132700.0,149100.0,149700.0,151700.0,151200.0,141800.0,148600.0,143400.0,143100.0,147800.0,150700.0
British Columbia,Recreation and Entertainment,74000.0,79800.0,86900.0,90500.0,85200.0,61200.0,64000.0,66000.0,66100.0,65400.0,62400.0,51400.0,38000.0,42900.0,52600.0,54900.0,51900.0,50600.0,54200.0,44100.0,48500.0,54200.0,47700.0,57900.0,50100.0,51500.0,67100.0,62100.0,61500.0,51700.0,51500.0,58300.0,57500.0,61300.0,63900.0,63200.0
British Columbia,Transportation,47200.0,48200.0,39200.0,42400.0,41100.0,46200.0,46000.0,43000.0,45600.0,43600.0,42900.0,43800.0,35200.0,41400.0,38400.0,38600.0,34600.0,39500.0,40300.0,38300.0,34900.0,38600.0,35900.0,36300.0,33600.0,33600.0,34200.0,31300.0,35400.0,36200.0,39600.0,37200.0,31500.0,25500.0,23200.0,34000.0
British Columbia,Travel Services,43100.0,46300.0,43600.0,42600.0,39000.0,42300.0,38700.0,36900.0,38000.0,37600.0,44600.0,35300.0,19000.0,24600.0,20500.0,31000.0,29700.0,25600.0,31300.0,36000.0,40900.0,42000.0,43200.0,45200.0,40800.0,42000.0,38900.0,35400.0,38300.0,34700.0,36200.0,34800.0,31400.0,30600.0,36100.0,35800.0
